"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","nwspol","tvtot","dcldef","dclenv","dclintr","dclmig","dclwlfr","euftf","freehms","gincdif","lrscale","polcmpl","polintr","trstep","trstlgl","trstplc","trstplt","trstprl","trstprt","trstun","vote","imbgeco","imueclt","prtvtit","prtvtbit","prtvtcit","prtclit","prtclbit","prtclcit","prtcldit","gndr","agea","edulvla","edulvlb","emplrel","marital","marsts","edlvit","edlvdit","edlveit","regionit","mnrgtjb","implvdm","ccnthum","yrbrn"
"ESS1e06_6",1,"6.6","01.12.2018",3019500,"IT",0.9855,0.885847,4.067886,,,,,,6,3,4,2,3,3,,1,4,7,3,3,4,5,4,4,5,,4,1,3,2,16,,,66,,,,1,56,3,,1,1,,4,,,1,,,,1947
"ESS1e06_6",1,"6.6","01.12.2018",3019700,"IT",0.9855,1.6987953,4.067886,,,,,,5,2,4,1,2,4,,1,2,5,3,3,4,3,2,4,4,,4,1,5,5,77,,,66,,,,1,32,2,,1,1,,3,,,1,,,,1971
"ESS1e06_6",1,"6.6","01.12.2018",3020300,"IT",0.9855,1.1289628,4.067886,,,,,,4,1,3,1,1,4,,1,1,10,4,3,1,1,1,1,1,,1,1,5,10,8,,,66,,,,2,34,3,,1,1,,4,,,1,,,,1969
"ESS1e06_6",1,"6.6","01.12.2018",3020400,"IT",1.4783,1.0827428,4.067886,,,,,,2,1,4,2,2,4,,2,2,7,3,3,6,6,9,3,4,,7,1,5,5,2,,,66,,,,2,43,3,,2,1,,4,,,1,,,,1960
"ESS1e06_6",1,"6.6","01.12.2018",3024500,"IT",1.3099,2.104894,4.067886,,,,,,4,2,3,3,2,3,,1,1,5,4,4,0,5,8,0,0,,8,1,5,7,77,,,66,,,,1,70,1,,2,1,,2,,,1,,,,1933
"ESS1e06_6",1,"6.6","01.12.2018",3024800,"IT",1.3099,1.5592314,4.067886,,,,,,7,3,4,4,4,4,,5,2,6,5,3,6,9,10,4,4,,8,1,6,4,77,,,66,,,,1,46,2,,2,1,,3,,,1,,,,1957
"ESS1e06_6",1,"6.6","01.12.2018",3025200,"IT",1.3099,2.0473614,4.067886,,,,,,7,1,4,2,4,1,,4,3,5,5,2,7,8,9,7,6,,9,1,5,7,77,,,77,,,,2,60,1,,2,1,,2,,,1,,,,1943
"ESS1e06_6",1,"6.6","01.12.2018",3025300,"IT",1.3099,1.5592314,4.067886,,,,,,5,1,4,4,4,4,,2,2,5,4,3,5,3,3,4,4,,5,1,5,1,77,,,66,,,,1,54,1,,2,1,,2,,,1,,,,1949
"ESS1e06_6",1,"6.6","01.12.2018",3025800,"IT",1.7465,1.279179,4.067886,,,,,,3,2,4,2,1,2,,2,3,88,3,3,9,8,9,7,8,,9,1,7,8,77,,,66,,,,2,49,3,,1,1,,4,,,1,,,,1954
"ESS1e06_6",1,"6.6","01.12.2018",3025900,"IT",1.7465,1.279179,4.067886,,,,,,6,3,4,3,3,4,,2,2,8,3,4,8,9,10,8,8,,8,1,5,6,77,,,88,,,,2,44,3,,1,1,,4,,,1,,,,1959
"ESS1e06_6",1,"6.6","01.12.2018",3026100,"IT",1.3099,1.8403295,4.067886,,,,,,2,2,3,3,3,3,,2,2,2,3,3,4,0,7,2,2,,4,1,8,5,77,,,66,,,,1,24,3,,2,5,,4,,,1,,,,1979
"ESS1e06_6",1,"6.6","01.12.2018",3026200,"IT",0.9856,1.5837724,4.067886,,,,,,6,1,3,3,2,3,,2,2,8,4,3,5,6,5,6,3,,6,1,2,2,8,,,8,,,,1,61,1,,2,1,,2,,,1,,,,1942
"ESS1e06_6",1,"6.6","01.12.2018",3026300,"IT",0.9856,0.9625514,4.067886,,,,,,6,3,4,2,2,3,,2,2,0,2,3,6,5,5,5,4,,5,1,5,3,77,,,77,,,,2,39,2,,2,1,,3,,,1,,,,1964
"ESS1e06_6",1,"6.6","01.12.2018",3026500,"IT",2.6197,2.5584376,4.067886,,,,,,7,1,2,1,2,2,,3,4,2,3,2,7,88,6,6,6,,7,1,5,5,1,,,66,,,,2,42,2,,6,1,,3,,,1,,,,1961
"ESS1e06_6",1,"6.6","01.12.2018",3029300,"IT",3.9936,4.018967,4.067886,,,,,,5,1,3,3,1,3,,3,2,88,4,3,6,0,6,0,5,,4,1,10,0,77,,,77,,,,2,61,1,,1,1,,2,,,1,,,,1942
"ESS1e06_6",1,"6.6","01.12.2018",3029400,"IT",4,4.018967,4.067886,,,,,,2,2,4,2,1,4,,1,5,5,2,2,88,4,7,4,6,,6,1,6,5,8,,,8,,,,1,40,3,,1,1,,4,,,1,,,,1963
"ESS1e06_6",1,"6.6","01.12.2018",3029500,"IT",3.9936,2.9250095,4.067886,,,,,,3,1,3,2,1,4,,1,1,0,3,3,88,5,10,5,4,,5,1,8,8,2,,,1,,,,2,41,3,,1,1,,4,,,1,,,,1962
"ESS1e06_6",1,"6.6","01.12.2018",3029600,"IT",4,2.929697,4.067886,,,,,,2,3,4,3,2,4,,1,5,9,3,2,5,4,7,5,5,,6,1,4,4,8,,,8,,,,2,36,3,,1,1,,4,,,1,,,,1967
"ESS1e06_6",1,"6.6","01.12.2018",3031000,"IT",4,2.929697,4.067886,,,,,,2,2,4,2,3,3,,1,4,88,3,3,7,0,8,3,6,,8,1,8,7,77,,,15,,,,2,36,3,,2,1,,4,,,1,,,,1967
"ESS1e06_6",1,"6.6","01.12.2018",3031100,"IT",3.9936,4.018967,4.067886,,,,,,1,8,4,8,8,4,,5,1,5,5,4,8,0,8,4,0,,88,1,10,88,77,,,66,,,,2,74,1,,3,1,,2,,,1,,,,1929
"ESS1e06_6",1,"6.6","01.12.2018",3034100,"IT",0.986,0.96294206,4.067886,,,,,,5,1,1,2,2,3,,1,3,9,4,2,6,5,6,2,5,,4,1,7,5,9,,,9,,,,2,48,2,,1,5,,3,,,1,,,,1955
"ESS1e06_6",1,"6.6","01.12.2018",3034200,"IT",0.986,1.0875543,4.067886,,,,,,3,2,3,3,3,4,,2,4,7,3,2,5,7,8,5,6,,5,1,5,5,77,,,66,,,,1,54,5,,2,1,,6,,,1,,,,1949
"ESS1e06_6",1,"6.6","01.12.2018",3034300,"IT",0.986,1.1565002,4.067886,,,,,,4,3,3,3,3,3,,2,1,10,2,2,7,5,7,6,7,,7,1,6,6,12,,,9,,,,1,41,3,,1,2,,4,,,1,,,,1962
"ESS1e06_6",1,"6.6","01.12.2018",3034400,"IT",0.986,0.96294206,4.067886,,,,,,3,2,3,2,4,3,,2,2,5,5,4,6,7,8,4,7,,8,1,5,6,11,,,66,,,,2,43,2,,2,1,,3,,,1,,,,1960
"ESS1e06_6",1,"6.6","01.12.2018",3034500,"IT",0.986,1.173679,4.067886,,,,,,5,3,4,3,4,3,,2,2,10,2,2,8,8,9,7,8,,8,1,3,4,9,,,9,,,,1,45,2,,2,2,,3,,,1,,,,1958
"ESS1e06_6",1,"6.6","01.12.2018",3034600,"IT",0.986,0.96294206,4.067886,,,,,,5,3,4,3,3,2,,1,4,7,3,3,10,9,10,6,8,,10,1,6,6,77,,,66,,,,2,53,2,,1,1,,3,,,1,,,,1950
"ESS1e06_6",1,"6.6","01.12.2018",3034700,"IT",0.986,1.173679,4.067886,,,,,,6,3,3,3,3,3,,2,2,3,3,2,4,5,7,3,6,,7,1,3,5,77,,,66,,,,1,44,2,,1,1,,3,,,1,,,,1959
"ESS1e06_6",1,"6.6","01.12.2018",3034800,"IT",0.986,1.1565002,4.067886,,,,,,7,2,3,2,3,4,,1,3,8,3,2,8,8,10,7,9,,8,1,1,3,11,,,66,,,,1,50,3,,2,5,,4,,,1,,,,1953
"ESS1e06_6",1,"6.6","01.12.2018",3034900,"IT",0.986,0.96294206,4.067886,,,,,,6,2,3,3,2,3,,2,3,5,3,3,3,2,5,3,2,,3,1,7,3,8,,,66,,,,2,50,2,,1,1,,3,,,1,,,,1953
"ESS1e06_6",1,"6.6","01.12.2018",3035000,"IT",0.986,1.0321091,4.067886,,,,,,5,2,4,2,3,4,,1,3,7,3,3,8,7,9,6,8,,8,1,3,3,77,,,77,,,,2,57,3,,1,5,,4,,,1,,,,1946
"ESS1e06_6",1,"6.6","01.12.2018",3035100,"IT",0.986,0.72217035,4.067886,,,,,,6,3,2,2,3,4,,4,4,9,1,1,7,6,7,7,9,,10,1,7,7,8,,,8,,,,2,43,3,,2,1,,4,,,1,,,,1960
"ESS1e06_6",1,"6.6","01.12.2018",3035200,"IT",0.986,0.72217035,4.067886,,,,,,5,2,4,2,2,3,,1,3,3,2,2,6,6,8,7,6,,6,1,5,4,2,,,2,,,,2,43,3,,1,1,,4,,,1,,,,1960
"ESS1e06_6",1,"6.6","01.12.2018",3036600,"IT",0.986,1.5844152,4.067886,,,,,,2,3,2,2,2,3,,3,2,3,5,4,2,4,7,2,4,,2,1,6,6,1,,,1,,,,1,60,2,,1,1,,3,,,1,,,,1943
"ESS1e06_6",1,"6.6","01.12.2018",3036700,"IT",0.986,1.3852699,4.067886,,,,,,4,3,2,3,3,3,,1,1,10,2,1,7,6,8,7,7,,7,1,6,5,9,,,9,,,,1,25,3,,6,5,,4,,,1,,,,1978
"ESS1e06_6",1,"6.6","01.12.2018",3036900,"IT",0.9911,1.3924351,4.067886,,,,,,4,3,2,3,3,2,,1,2,8,2,2,5,6,7,6,8,,7,1,4,5,9,,,9,,,,1,32,3,,2,2,,4,,,1,,,,1971
"ESS1e06_6",1,"6.6","01.12.2018",3037100,"IT",0.9911,1.3924351,4.067886,,,,,,3,3,4,3,3,4,,2,3,7,3,3,5,6,7,3,5,,6,1,5,4,77,,,77,,,,1,26,3,,2,1,,4,,,1,,,,1977
"ESS1e06_6",1,"6.6","01.12.2018",3037200,"IT",0.986,1.1295356,4.067886,,,,,,2,2,2,2,2,2,,1,2,6,2,2,5,7,9,7,8,,4,1,5,5,77,,,77,,,,2,33,3,,1,1,,4,,,1,,,,1970
"ESS1e06_6",1,"6.6","01.12.2018",3039000,"IT",0.9931,1.5958242,4.067886,,,,,,7,2,2,2,2,2,,2,2,6,1,3,7,9,8,4,4,,8,1,4,4,77,,,66,,,,1,81,1,,6,1,,2,,,1,,,,1922
"ESS1e06_6",1,"6.6","01.12.2018",3039100,"IT",0.9931,1.1821305,4.067886,,,,,,2,2,3,2,1,2,,2,1,88,2,4,4,3,5,1,4,,5,1,4,7,77,,,66,,,,1,36,2,,1,5,,3,,,1,,,,1967
